Mods count: 747
 
jar name                                                                            | mod id (isMCreator)                            | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                             | forge                                          | 
[1.20.1] SecurityCraft v1.10.1.jar                                                  | securitycraft                                  | securitycraft.mixins.json
accelerated-decay-forge-3.0.1+mc1.20.1.jar                                          | accelerateddecay                               | accelerateddecay-common.mixins.json, accelerateddecay.mixins.json
accessories-neoforge-1.0.0-beta.48+1.20.1.jar                                       | accessories                                    | accessories-neoforge.mixins.json, accessories-common.mixins.json
    /META-INF/jars/endec-0.1.8.jar                                                  |                                                | 
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                            | fabric_api_base                                | fabric-api-base.init.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.0.0+30ef839e77.jar               | fabric_data_attachment_api_v1                  | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.6.0+6274ab9d77.jar                     | fabric_entity_events_v1                        | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-object-builder-api-v1-11.1.3+2174fc8477.jar               | fabric_object_builder_api_v1                   | fabric-object-builder-v1.mixins.json
    /META-INF/jars/gson-0.1.5.jar                                                   |                                                | 
    /META-INF/jars/netty-0.1.4.jar                                                  |                                                | 
accessories_cclayer-7.4.0-beta.18+1.20.1.jar                                        | curios                                         | cclayer.mixins.json, cclayer_curios.mixins.json
actually_division-1.0.5-forge-1.20.1.jar                                            | actually_division (MCreator mod)               | 
ActuallySubtractions-1.20.1-1.2.14.19+mc1.20.1.jar                                  | actuallyadditions                              | actuallyadditions.mixins.json
Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar                                        | ad_astra_giselle_addon                         | ad_astra_giselle_addon.mixin.refmap.json, ad_astra_giselle_addon.mixin.client.json, ad_astra_giselle_addon.mixin.common.json, ad_astra_giselle_addon.mixin.forge.client.json, ad_astra_giselle_addon.mixin.forge.common.json
ad_astra-forge-1.20.1-1.15.20.jar                                                   | ad_astra                                       | adastra.mixins.json, adastra-common.mixins.json
    /META-INF/jars/jlayer-1.0.1.jar                                                 |                                                | 
adastraextra-forge-1.20.1-1.2.3.jar                                                 | adastraextra                                   | 
additional_lights-1.20.1-2.1.7.jar                                                  | additional_lights                              | 
additional_recipes-1.5.0-forge-1.20.1.jar                                           | additional_recipes (MCreator mod)              | 
AdditionalEnchantedMiner-1.20.1-1201.1.136.jar                                      | quarryplus                                     | 
additionallanterns-1.1.2-forge-mc1.20.2.jar                                         | additionallanterns                             | 
AdditionalStructures-1.20.x-(v.4.2.2).jar                                           | additionalstructures                           | 
additionaltrims-1.20.1-1.0.0.2-release.jar                                          | additionaltrims                                | additionaltrims.mixins.json
addonslib-1.20.1-1.5.jar                                                            | addonslib                                      | 
AdLods-1.20.1-8.1.7.0-build.1496.jar                                                | adlods                                         | adlods.mixins.json
adtetra-2.1.0.jar                                                                   | adtetra                                        | 
AdvancedAE-1.3.2-1.20.1.jar                                                         | advanced_ae                                    | mixins.aae.json, mixins.aae.refmap.json
    /META-INF/jarjar/ae2addonlib-1.0.3-1.20.1.jar                                   | ae2addonlib                                    | 
AdvancedLootInfo-forge-1.20.1-1.5.2.jar                                             | ali                                            | ali.mixins.json, ali.lootjs.mixins.json, ali.forge.mixins.json
AdvancementPlaques-1.20.1-forge-1.6.9.jar                                           | advancementplaques                             | 
advgenerators-1.6.0.6-mc1.20.1.jar                                                  | advgenerators                                  | assets/advgenerators/blockstates/mixing_chamber.json, assets/advgenerators/models/item/mixing_chamber.json, assets/advgenerators/models/block/mixing_chamber.json
AE2-Things-1.2.1.jar                                                                | ae2things                                      | mixins.ae2things.refmap.json, mixins.ae2things.json
AE2AddonLib-1.0.3-1.20.1.jar                                                        | ae2addonlib                                    | 
ae2alchemistryaddon-1.20.1-0.0.2.jar                                                | ae2alchemistryaddon                            | 
ae2ct-1.20.1-1.1.1.jar                                                              | ae2ct                                          | ae2ct.mixins.json
ae2insertexportcard-1.20.1-1.3.0.jar                                                | ae2insertexportcard                            | ae2insertexportcard.mixins.json
AE2MEGAThings-1.20.1-1.0.8.jar                                                      | ae2_mega_things                                | ae2_mega_things.mixins.json
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar                                             | ae2netanalyser                                 | 
ae2wtlib-15.3.1-forge.jar                                                           | ae2wtlib                                       | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json
AEAdditions-1.20.1-5.1.1.jar                                                        | ae2additions                                   | ae2additions.mixins.json
AEInfinityBooster-1.20.1-1.0.0+51.jar                                               | aeinfinitybooster                              | AEInfinityBooster.mixins.json
aether-1.20.1-1.5.2-neoforge.jar                                                    | aether                                         | aether.mixins.json
    /META-INF/jarjar/cumulus_menus-1.20.1-1.0.1-neoforge.jar                        | cumulus_menus                                  | cumulus_menus.mixins.json
    /META-INF/jarjar/curios-forge-5.6.1+1.20.1.jar                                  | curios                                         | curios.mixins.json
    /META-INF/jarjar/nitrogen_internals-1.20.1-1.0.12-neoforge.jar                  | nitrogen_internals                             | nitrogen_internals.mixins.json
aetheric_tetranomicon-1.2.0-1.20.1.jar                                              | aetheric_tetranomicon                          | aetheric_tetranomicon.mixin.json, aetheric_tetranomicon.mixin-refmap.json
AI-Improvements-1.20-0.5.2.jar                                                      | aiimprovements                                 | 
aiotbotania-1.20.1-4.0.6.jar                                                        | aiotbotania                                    | 
alchemistry-1.20.1-2.3.4.jar                                                        | alchemistry                                    | 
alchemylib-1.20.1-1.0.30.jar                                                        | alchemylib                                     | 
alexscaves-2.0.2.jar                                                                | alexscaves                                     | citadel.mixins.json, alexscaves.mixins.json
alexscavestrimmed-2.0.0.jar                                                         | alexscaves_trimmed                             | 
alexsdelight-1.5.jar                                                                | alexsdelight                                   | 
alexsmobs-1.22.9.jar                                                                | alexsmobs                                      | citadel.mixins.json
alltheleaks-1.1.0+1.20.1-forge.jar                                                  | alltheleaks                                    | alltheleaks.mixins.json
almostunified-forge-1.20.1-0.10.1.jar                                               | almostunified                                  | almostunified-common.mixins.json
amendments-1.20-2.2.3.jar                                                           | amendments                                     | amendments-common.mixins.json, amendments.mixins.json
angelring-1.20.1-2.3.1.jar                                                          | angelring                                      | 
Apotheosis-1.20.1-7.4.8.jar                                                         | apotheosis                                     | apotheosis.mixins.json
ApotheoticAdditionsV2.2.2.jar                                                       | apotheotic_additions (MCreator mod)            | 
Apothic Amendments - Enchanting - 0.1.4.jar                                         | apothic_amendments__enchanting                 | 
Apothic Supplementaries - Enchanting - 0.1.2a.jar                                   | apothic_sups_enchanting                        | 
apothic_equipment-1.0.0-forge-1.20.1.jar                                            | apothic_equipment                              | 
apothic_materials-1.0.0-forge-1.20.1.jar                                            | apothic_materials                              | 
ApothicAttributes-1.20.1-1.3.7.jar                                                  | attributeslib                                  | attributeslib.mixins.json
appdyenamics-1.20.1-1.0.1.jar                                                       | appdyenamics                                   | appdyenamics.mixins.refmap.json, appdyenamics.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                  | appleskin                                      | 
applied-botanics-forge-1.5.1.jar                                                    | appbot                                         | appbot.mixins.json
Applied-Mekanistics-1.4.2.jar                                                       | appmek                                         | 
appliedcooking-4.0.0.jar                                                            | appliedcooking                                 | 
appliede-0.14.3.jar                                                                 | appliede                                       | appliede.mixins.json
appliedenergistics2-forge-15.4.10.jar                                               | ae2                                            | ae2.mixins.refmap.json, ae2.mixins.json
AppliedFlux-1.20-1.3.4-forge.jar                                                    | appflux                                        | mixins.appflux.refmap.json, mixins.appflux.json
appliedpneumatics-1.0.4-1.20.1.jar                                                  | appliedpneumatics                              | 
appliedschematicannon-1.0.1.jar                                                     | appliedschematicannon                          | appliedschematicannon.mixins.json
appwebterminal-1.2.3.jar                                                            | appwebterminal                                 | appwebterminal.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                                | 
    /META-INF/jarjar/jackson-annotations-2.14.0.jar                                 |                                                | 
    /META-INF/jarjar/jackson-core-2.14.0.jar                                        |                                                | 
    /META-INF/jarjar/jackson-databind-2.14.0.jar                                    |                                                | 
Aquaculture-1.20.1-2.5.5.jar                                                        | aquaculture                                    | 
Arcane_EssencePlus.jar                                                              | arcaneessenceblock (MCreator mod)              | mixins.arcaneessenceblock.json
ArcheryExpansion-forge-1.20.1-1.0.7.3-all.jar                                       | archeryexp                                     | archeryexp.forge.mixins.json, archeryexp.mixins.json
archexpsquared-0.3.0.jar                                                            | archexpsquared                                 | 
architectury-9.2.14-forge.jar                                                       | architectury                                   | architectury.mixins.json, architectury-common.mixins.json
ars_additions-1.20.1-1.6.7.jar                                                      | ars_additions                                  | ars_additions.mixins.json
ars_botania-1.1.2-all.jar                                                           | ars_botania                                    | ars_botania.mixins.json
ars_controle-1.20.1-1.1.1.jar                                                       | ars_controle                                   | ars_controle.mixins.json
ars_creo-1.20.1-4.3.0.jar                                                           | ars_creo                                       | ars_creo.mixins.json
ars_elemental-1.20.1-0.6.7.8.jar                                                    | ars_elemental                                  | ars_elemental.mixins.json
ars_nouveau-1.20.1-4.12.7-all.jar                                                   | ars_nouveau                                    | ars_nouveau.mixins.json
    /META-INF/jarjar/geckolib-forge-1.20.1-4.4.4.jar                                | geckolib                                       | geckolib.mixins.json
        /META-INF/jarjar/mclib-20.jar                                               |                                                | 
ars_ocultas-1.20.1-1.2.2-all.jar                                                    | ars_ocultas                                    | 
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                                | 
ars_technica-1.20.1-1.4.2.jar                                                       | ars_technica (MCreator mod)                    | ars_technica.mixins.json
arsdelight-1.1.6.jar                                                                | arsdelight                                     | arsdelight.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                                | 
    /META-INF/jarjar/l2library-2.5.1-slim.jar                                       | l2library                                      | l2library.mixins.json
    /META-INF/jarjar/l2modularblock-1.1.1.jar                                       |                                                | 
    /META-INF/jarjar/l2serial-1.2.0.jar                                             |                                                | 
arseng-1.2.0.jar                                                                    | arseng                                         | arseng.mixins.json
artifacts-forge-9.5.16.jar                                                          | artifacts                                      | mixins.artifacts.forge.json, mixins.artifacts.common.json
    /META-INF/jars/expandability-forge-9.0.4.jar                                    | expandability                                  | expandability.mixins.json, expandability-common.mixins.json
athena-forge-1.20.1-3.1.2.jar                                                       | athena                                         | athena-forge.mixins.json, athena.mixins.json
atmosphericwatergenerator-1.0.12-forge-1.20.1.jar                                   | atmosphericwatergenerator                      | 
AttributeFix-Forge-1.20.1-21.0.4.jar                                                | attributefix                                   | attributefix.mixins.json
azurelib-neo-1.20.1-3.1.1.jar                                                       | azurelib                                       | azurelib.forge.mixins.json, azurelib.mixins.json
azurelibarmor-neo-1.20.1-2.0.14.jar                                                 | azurelibarmor                                  | azurelibarmor.mixins.json, azurelibarmor.forge.mixins.json
baguettelib-1.20.1-Forge-1.1.1.jar                                                  | baguettelib                                    | baguettelib.mixins.json
balm-forge-1.20.1-7.3.37-all.jar                                                    | balm                                           | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                              | kuma_api                                       | kuma_api.forge.mixins.json, kuma_api.mixins.json
